Longitude,Latitude,OBJECTID,site_name,Suburb,Location,Accessible
151.199796665513000,-33.910750477221600,80,Beaconsfield Park,Beaconsfield,Park,No wheelchair access
151.20589821347700,-33.919924522342600,81,Crete Reserve,Rosebery,Reserve,No wheelchair access
151.204328159779000,-33.918869957826500,82,Turruwul Park,Rosebery,Park,Wheelchair accessible
151.203754953640000,-33.919974969108900,83,Turruwul Park,Rosebery,Park,Wheelchair accessible
151.200271979690000,-33.914120448246700,84,Janet Beirne Reserve,Beaconsfield,Park,No wheelchair access
151.184845142030000,-33.895046405328500,85,Jack Haynes Rest Area,Newtown,Reserve,No wheelchair access
151.185350320480000,-33.897711262402500,86,Burren Street Reserve 2,Erskineville,Reserve,Wheelchair accessible
151.211115988352000,-33.922401950257800,87,Southern Cross Dr Reserve,Rosebery,Reserve,Wheelchair accessible
151.189580835335000,-33.899633984641200,88,Solander Park,Erskineville,Park,No wheelchair access
151.211198723950000,-33.888659734419800,89,Eddie Ward Park,Surry Hills,Park,No wheelchair access
151.211656641391000,-33.888136250231200,90,Eddie Ward Park,Surry Hills,Park,No wheelchair access
151.2118704103260,-33.888990687330300,91,Eddie Ward Park,Surry Hills,Park,Wheelchair accessible
151.217088239785000,-33.891993288348400,92,Moore Park,Moore Park,Park,No wheelchair access
151.222447519701000,-33.890422454405200,93,Moore Park,Moore Park,Park,No wheelchair access
151.222670003287000,-33.893025028032100,94,Moore Park,Moore Park,Park,Wheelchair accessible
151.218186264512000,-33.890320936884200,95,Moore Park,Moore Park,Park,No wheelchair access
151.222425313738000,-33.901641697097800,96,Moore Park,Moore Park,Park,No wheelchair access
151.203478036250000,-33.890042000767900,97,Reconcilliation Park,Redfern,Park,Wheelchair accessible
151.183096438106000,-33.905452870958900,98,Devine Street Reserve,Erskineville,Reserve,No wheelchair access
151.205545479673000,-33.893621384296100,99,Redfern Park,Redfern,Park,Wheelchair accessible
151.206872775871000,-33.893518890263400,100,Redfern Park,Redfern,Park,Wheelchair accessible
151.206573808798000,-33.89536175000800,101,Redfern Park,Redfern,Park,Wheelchair accessible
151.186025292766000,-33.894515898432100,102,Hollis Park,Newtown,Park,No wheelchair access
151.190327676307000,-33.900916678662400,103,Harry Noble Reserve,Erskineville,Park,No wheelchair access
151.209796143558000,-33.904437111924600,104,Tote Park,Zetland,Park,No wheelchair access
151.209782968262000,-33.904431059091600,105,Tote Park,Zetland,Park,No wheelchair access
151.211077494703000,-33.906329184604700,106,Joynton Park,Zetland,Park,No wheelchair access
151.21107290942000,-33.906336422074600,107,Joynton Park,Zetland,Park,No wheelchair access
151.204537034792000,-33.920287015396700,108,Tarakan Reserve,Rosebery,Park,Wheelchair accessible
151.179361709506000,-33.877997699677100,109,Harold Park,Forest Lodge,Park,
151.210980008143000,-33.907547549814400,110,Nuffield Park,Zetland,Park,No wheelchair access
151.20473903038300,-33.901034456239200,111,Waterloo Oval,Waterloo,Park,No wheelchair access
151.205169416760000,-33.902319754607700,112,Waterloo Oval,Waterloo,Park,No wheelchair access
151.204779685001000,-33.900709791989700,113,Waterloo Oval,Waterloo,Park,No wheelchair access
151.198594571469000,-33.895364781604200,114,Daniel Dawson Playground,Alexandria,Park,No wheelchair access
151.210258780168000,-33.916417470994000,115,Kimberly Grove Reserve,Rosebery,Park,No wheelchair access
151.210903428872000,-33.919660648599700,116,Bannerman Cres.Reserve,Rosebery,Reserve,Wheelchair accessible
151.207394646559000,-33.880521047201400,117,Belmore Park (west of Railway),Haymarket,Park,No wheelchair access
151.193038614683000,-33.886930512124200,118,Victoria Park,Camperdown,Park,Wheelchair accessible
151.191202001420000,-33.887797988866700,119,Victoria Park,Camperdown,Park,Wheelchair accessible
151.192211954154000,-33.88773797155380,120,Victoria Park,Camperdown,Park,Wheelchair accessible
151.201348783051000,-33.874497755089200,121,Tumbalong Park,Sydney,Park,No wheelchair access
151.209706069835000,-33.85957506939380,122,Circular Quay,Sydney,Property,No wheelchair access
151.212358729385000,-33.86123681135570,123,Circular Quay,Sydney,Property,Wheelchair accessible
151.19599416938900,-33.875559171853500,124,Fig Lane Park,Ultimo,Park,Wheelchair accessible
151.205518065691000,-33.857162945160000,125,Pottinger Park (West) The Paddock,Dawes Point,Park,Wheelchair accessible
151.179148255049000,-33.880355650381400,126,Lewis Hoad Reserve,Forest Lodge,Park,No wheelchair access
151.183301536675000,-33.904252623844200,127,Flora & Knight Reserve,Erskineville,Reserve,No wheelchair access
151.176792758971000,-33.874446002065300,128,Federal Park 1,Annandale,Park,Wheelchair accessible
151.178545931583000,-33.873728272895000,129,Jubilee Park,Glebe,Park,Wheelchair accessible
151.202912601140000,-33.889090352779500,130,Prince Alfred Park,Surry Hills,Park,Wheelchair accessible
